title,slug,category,styrk_code,median_pay_annual,num_employed,education,url
Reiseleder,reiseleder,Salgs- og serviceyrker,5113,506640,1657,Videregående,https://utdanning.no/yrker/y_reiseleder
Reiselivsmedarbeider,reiselivsmedarbeider,Kontoryrker,4221,565440,4400,Videregående,https://utdanning.no/yrker/y_reiseliv
Rektor/skoleleder,rektor-skoleleder,Ledere,1345,907320,11303,Bachelor,https://utdanning.no/yrker/y_rektorskoleleder
Rekvisitør,rekvisitoer,Høyskoleyrker,3432,574800,1602,,https://utdanning.no/yrker/y_rekvisitor
Renholdsoperatør,renholdsoperatoer,"Renholdere, hjelpearbeidere mv.",9112,494160,56967,Videregående,https://utdanning.no/yrker/y_renholdsoperator
Repslager,repslager,,,,,,https://utdanning.no/yrker/y_repslager
Resepsjonist,resepsjonist,Kontoryrker,4224,475560,8300,Videregående,https://utdanning.no/yrker/y_resepsjonist
Reservedelsekspeditør,reservedelsekspeditoer,Salgs- og serviceyrker,5223,504240,162588,Videregående,https://utdanning.no/yrker/y_reservedelseksp
Revisor,revisor,Akademiske yrker,2411,867600,14913,Master,https://utdanning.no/yrker/y_revisor
Revmatolog,revmatolog,Akademiske yrker,2212,1285920,17443,,https://utdanning.no/yrker/y_revmatolog
Ridelærer,ridelaerer,Høyskoleyrker,3422,564000,7033,Fagbrev/fagskole,https://utdanning.no/yrker/y_ridelarer
Romteknolog,romteknolog,Akademiske yrker,2111,909480,523,Videregående,https://utdanning.no/yrker/y_romteknolog
Rådgiver i offentlig sektor,raadgiver-i-offentlig-sektor,Akademiske yrker,2422,739560,90317,Bachelor,https://utdanning.no/yrker/y_radgiver_off
Røkter,roekter,"Bønder, fiskere mv.",612,462960,3542,Fagbrev/fagskole,https://utdanning.no/yrker/y_rokter
Rørlegger,roerlegger,Håndverkere,7126,645000,17683,Videregående,https://utdanning.no/yrker/y_rorlegger
Røykdykker,roeykdykker,Salgs- og serviceyrker,5411,726120,3876,Fagbrev/fagskole,https://utdanning.no/yrker/y_roykdykker
Saksbehandler,saksbehandler,Høyskoleyrker,3359,630480,6345,,https://utdanning.no/yrker/y_saksbehandler
Salgsmedarbeider,salgsmedarbeider,Salgs- og serviceyrker,5223,504240,162588,Videregående,https://utdanning.no/yrker/y_salgsmedarbeider
Salgssjef,salgssjef,Ledere,1221,1070040,15949,Bachelor,https://utdanning.no/yrker/y_salgssjef
Salmaker,salmaker,Håndverkere,7534,558240,297,Videregående,https://utdanning.no/yrker/y_salmaker
Samfunnsgeograf,samfunnsgeograf,Akademiske yrker,2632,820320,1161,,https://utdanning.no/yrker/y_samfunnsgeograf
Samfunnsmedisiner,samfunnsmedisiner,Akademiske yrker,2212,1285920,17443,,https://utdanning.no/yrker/y_samfunnsmedisiner
Samfunnsplanlegger,samfunnsplanlegger,Akademiske yrker,2164,817680,1442,Master,https://utdanning.no/yrker/y_samfunnsplanlegger
Samfunnsøkonom,samfunnsoekonom,Akademiske yrker,2631,853440,1168,,https://utdanning.no/yrker/y_samfunnsokonom
Sanger,sanger,Akademiske yrker,2652,740520,2283,,https://utdanning.no/yrker/y_sanger
Sangpedagog,sangpedagog,Akademiske yrker,2354,680160,3100,Bachelor,https://utdanning.no/yrker/y_sangpedagog
Scenograf,scenograf,Høyskoleyrker,3439,645000,1816,,https://utdanning.no/yrker/y_scenograf
Seilmaker,seilmaker,Håndverkere,7531,591000,547,Videregående,https://utdanning.no/yrker/y_seilmaker
Sekretær,sekretaer,Kontoryrker,4110,593160,53335,Bachelor,https://utdanning.no/yrker/y_sekretar
Serigraf,serigraf,Håndverkere,7322,560760,1024,Videregående,https://utdanning.no/yrker/y_serigraf
Service- og administrasjonsmedarbeider,service-og-administrasjonsmedarbeider,Kontoryrker,4110,593160,53335,Videregående,https://utdanning.no/yrker/y_kontor
Servitør,servitoer,Salgs- og serviceyrker,5131,448200,22815,Videregående,https://utdanning.no/yrker/y_servitor
Sexolog,sexolog,,,,,,https://utdanning.no/yrker/y_sexolog
Signalmontør,signalmontoer,Håndverkere,7412,720960,6189,Videregående,https://utdanning.no/yrker/y_signalmontor
Sikkerhetsrådgiver (IT),sikkerhetsraadgiver-it,Akademiske yrker,2529,936120,1762,,https://utdanning.no/yrker/y_sikkerhetsradgiver_it
Sivilingeniør,sivilingenioer,Akademiske yrker,2146,1182000,11576,Master,https://utdanning.no/yrker/y_sivilingenior
Siviløkonom,siviloekonom,Høyskoleyrker,3313,738000,19515,Master,https://utdanning.no/yrker/y_sivilokonom
Sjåfør,sjaafoer,"Prosess- og maskinoperatører, transportarbeidere mv.",8322,498840,14995,,https://utdanning.no/yrker/y_sjafor
Sjømathandler,sjoemathandler,Håndverkere,7511,535800,1904,Fagbrev/fagskole,https://utdanning.no/yrker/y_sjomathandler
Skadedyrbekjemper,skadedyrbekjemper,Håndverkere,7544,555600,435,,https://utdanning.no/yrker/y_skadedyrbekjemper
Skipper på fiskefartøy,skipper-paa-fiskefartoey,"Bønder, fiskere mv.",6222,582000,429,Bachelor,https://utdanning.no/yrker/y_fiskeskipper
Skipsmegler,skipsmegler,Høyskoleyrker,3324,1260000,750,,https://utdanning.no/yrker/y_skipsmegler
